FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
07/01/2015,4,-99,-99,-99,1,11,10,-99,14,-99,14,6,8,11,-99,7,2,-99,10,4,-99,,,,,,,
07/01/2015,5,-99,-99,-99,9,7,9,-99,16,-99,11,11,3,9,-99,4,1,-99,10,8,-99,,,,,,,
07/01/2015,6,-99,-99,-99,10,6,14,-99,17,-99,8,13,7,10,-99,7,5,-99,8,3,-99,,,,,,,
07/01/2015,7,-99,-99,-99,9,11,20,-99,13,-99,12,14,11,12,-99,19,13,-99,9,7,-99,,,,,,,
07/01/2015,8,-99,-99,-99,9,15,15,-99,12,-99,20,10,8,21,-99,11,20,-99,22,16,-99,,,,,,,
07/01/2015,9,-99,-99,-99,12,9,10,-99,26,-99,17,9,14,16,-99,13,10,-99,13,7,-99,,,,,,,
07/01/2015,10,-99,-99,-99,16,9,15,-99,23,-99,7,22,8,18,-99,16,13,-99,10,14,-99,,,,,,,
07/01/2015,11,-99,-99,-99,8,13,13,-99,11,-99,10,15,4,17,-99,15,1,-99,10,6,-99,,,,,,,
07/01/2015,12,-99,-99,-99,10,11,13,-99,16,-99,11,11,5,7,-99,7,2,-99,9,18,-99,,,,,,,
07/01/2015,13,-99,-99,-99,12,6,14,-99,7,-99,7,11,2,4,-99,29,-99,-99,1,12,-99,,,,,,,
07/01/2015,14,-99,-99,-99,15,11,13,-99,-99,-99,12,10,7,27,-99,-99,-99,-99,7,4,-99,,,,,,,
07/01/2015,15,-99,-99,-99,-99,7,18,-99,26,-99,13,16,7,8,-99,38,-99,-99,6,3,-99,,,,,,,
07/01/2015,16,-99,-99,-99,13,6,-99,-99,24,-99,8,14,8,6,-99,43,-99,-99,10,8,-99,,,,,,,
07/01/2015,17,-99,-99,-99,18,1,9,-99,18,-99,-99,9,14,-99,-99,26,-99,-99,14,10,-99,,,,,,,
07/01/2015,18,-99,-99,-99,15,11,9,-99,4,-99,-99,7,21,36,-99,6,13,-99,14,18,-99,,,,,,,
07/01/2015,19,-99,-99,-99,14,15,12,-99,4,-99,-99,9,32,26,-99,8,20,-99,17,18,-99,,,,,,,
07/01/2015,20,-99,-99,-99,13,15,6,-99,-99,-99,-99,11,16,16,-99,12,13,-99,23,4,-99,,,,,,,
07/01/2015,21,-99,-99,-99,4,12,7,-99,7,-99,-99,7,12,3,-99,5,10,-99,10,2,-99,,,,,,,
07/01/2015,22,-99,-99,-99,-99,8,6,-99,4,-99,-99,7,5,6,-99,3,5,-99,-99,7,-99,,,,,,,
07/01/2015,23,-99,-99,-99,2,1,8,-99,6,-99,-99,5,9,3,-99,-99,5,-99,-99,5,-99,,,,,,,
07/01/2015,24,-99,-99,-99,7,2,-99,-99,8,-99,-99,12,13,3,-99,5,5,-99,-99,5,-99,,,,,,,
08/01/2015,1,6,-99,-99,3,8,-99,-99,2,-99,-99,6,6,12,-99,10,4,-99,5,11,-99,,,,,,,
08/01/2015,2,4,-99,-99,8,2,-99,-99,-99,-99,-99,11,6,6,-99,13,3,-99,2,4,-99,,,,,,,
08/01/2015,3,5,-99,-99,1,-99,-99,-99,-99,-99,-99,4,2,4,-99,5,-99,-99,2,5,-99,,,,,,,
08/01/2015,4,2,-99,-99,2,-99,-99,-99,-99,-99,-99,2,-99,4,-99,3,-99,-99,-99,5,-99,,,,,,,
08/01/2015,5,2,-99,-99,3,-99,-99,-99,-99,-99,-99,5,3,-99,-99,4,2,-99,-99,-99,-99,,,,,,,
08/01/2015,6,4,-99,-99,3,-99,5,-99,-99,-99,-99,7,1,5,-99,3,1,-99,3,6,-99,,,,,,,
08/01/2015,7,5,-99,-99,10,5,6,-99,-99,-99,-99,2,3,4,-99,1,3,-99,3,5,-99,,,,,,,
08/01/2015,8,2,-99,-99,5,5,8,-99,5,-99,-99,5,6,4,-99,3,7,-99,6,-99,-99,,,,,,,
08/01/2015,9,5,-99,-99,6,6,7,-99,2,-99,-99,9,1,-99,-99,5,-99,-99,2,4,-99,,,,,,,
08/01/2015,10,7,-99,-99,6,7,5,-99,5,-99,-99,10,4,7,-99,9,6,-99,3,9,-99,,,,,,,
08/01/2015,11,11,-99,-99,12,7,7,-99,11,-99,-99,10,4,10,-99,11,3,-99,8,6,-99,,,,,,,
08/01/2015,12,11,-99,-99,11,6,13,-99,14,-99,-99,11,-99,12,-99,8,-99,-99,-99,5,-99,,,,,,,
08/01/2015,13,10,-99,-99,11,4,15,-99,4,-99,-99,9,1,12,-99,4,-99,-99,3,10,-99,,,,,,,
08/01/2015,14,12,-99,-99,14,1,14,-99,28,-99,-99,10,5,8,-99,10,-99,-99,7,9,-99,,,,,,,
08/01/2015,15,11,-99,-99,19,6,15,-99,-99,-99,-99,17,12,18,-99,16,8,-99,3,17,-99,,,,,,,
08/01/2015,16,18,-99,-99,21,9,17,-99,38,-99,-99,16,9,24,-99,11,12,-99,16,23,-99,,,,,,,
08/01/2015,17,18,-99,-99,22,15,22,-99,16,-99,-99,19,17,24,-99,18,14,-99,22,24,-99,,,,,,,
08/01/2015,18,21,-99,-99,28,19,22,-99,33,-99,-99,23,19,22,-99,30,19,-99,23,30,-99,,,,,,,
08/01/2015,19,26,-99,-99,30,21,23,-99,31,-99,-99,25,23,20,-99,24,25,-99,25,25,-99,,,,,,,
08/01/2015,20,36,-99,-99,33,19,21,-99,35,-99,-99,27,19,26,-99,32,22,-99,23,31,-99,,,,,,,
08/01/2015,21,29,-99,-99,40,26,31,-99,35,-99,-99,31,22,28,-99,34,22,-99,34,21,-99,,,,,,,
08/01/2015,22,34,-99,-99,33,27,35,-99,35,-99,-99,28,20,34,-99,30,25,-99,39,19,-99,,,,,,,
08/01/2015,23,36,-99,-99,35,26,29,-99,27,-99,-99,28,10,43,-99,32,18,-99,18,35,-99,,,,,,,
08/01/2015,24,33,-99,-99,26,22,27,-99,23,-99,-99,31,20,27,-99,34,22,-99,20,40,-99,,,,,,,
09/01/2015,1,31,-99,-99,30,33,27,-99,26,-99,29,41,31,28,26,27,28,-99,23,27,-99,,,,,,,
09/01/2015,2,29,-99,-99,31,30,29,-99,24,-99,25,33,22,21,22,18,38,-99,24,59,-99,,,,,,,
09/01/2015,3,22,-99,-99,35,25,30,-99,27,-99,24,34,21,23,27,16,52,-99,22,52,-99,,,,,,,
09/01/2015,4,21,-99,-99,39,24,29,-99,28,-99,26,31,27,19,34,9,20,-99,30,33,-99,,,,,,,
09/01/2015,5,16,-99,-99,41,19,28,-99,26,-99,18,28,24,11,31,11,23,-99,30,30,-99,,,,,,,
09/01/2015,6,12,-99,-99,43,15,25,-99,34,-99,33,38,26,22,23,9,25,-99,28,30,-99,,,,,,,
09/01/2015,7,12,-99,-99,49,17,22,-99,39,-99,35,29,28,2,41,11,28,-99,23,29,-99,,,,,,,
09/01/2015,8,17,-99,-99,60,16,30,-99,38,-99,43,36,35,2,46,16,30,-99,26,31,-99,,,,,,,
09/01/2015,9,19,-99,-99,44,25,47,-99,41,-99,50,39,28,17,34,17,35,-99,40,43,-99,,,,,,,
09/01/2015,10,36,-99,-99,50,32,50,-99,56,-99,52,52,33,41,42,20,37,-99,35,41,-99,,,,,,,
09/01/2015,11,50,-99,-99,64,32,60,-99,57,-99,68,57,35,57,-99,38,40,-99,39,46,-99,,,,,,,
09/01/2015,12,47,-99,-99,93,43,72,-99,73,-99,67,61,39,84,-99,67,38,-99,54,60,-99,,,,,,,
09/01/2015,13,41,-99,-99,82,34,60,-99,81,-99,67,41,40,46,-99,29,36,-99,34,69,-99,,,,,,,
09/01/2015,14,38,-99,-99,45,18,40,-99,36,-99,45,36,31,14,23,-99,22,-99,18,41,-99,,,,,,,
09/01/2015,15,40,-99,-99,44,15,39,-99,65,-99,55,42,13,50,26,9,1,-99,3,21,-99,,,,,,,
